Song Name,Popularity,Duration
Starboy (feat. Daft Punk),61,230.461
Party Monster,59,249.207
False Alarm,56,220.308
Reminder,58,218.879
Rockinâ€™,54,232.881
Secrets,54,265.607
True Colors,53,206.034
Stargirl Interlude (feat. Lana Del Rey),58,111.611
Sidewalks (feat. Kendrick Lamar),54,231.357
Six Feet Under,53,237.576
Love To Lay,52,223.301
A Lonely Night,52,220.17
Attention,51,197.649
Ordinary Life,52,221.913
Nothing Without You,50,198.654
All I Know (feat. Future),51,321.031
Die For You,53,260.255
I Feel It Coming (feat. Daft Punk),55,269.176
Die For You (with Ariana Grande) - Remix,83,232.857
Starboy (feat. Daft Punk) - Kygo Remix,54,244.72
Reminder (feat. A$AP Rocky & Young Thug) - Remix,57,221.968
Intro - Live,50,95.813
Alone Again - Live,53,167.253
Gasoline - Live,53,195.635
Sacrifice - Live,54,263.24
How Do I Make You Love Me? - Live,53,209.04
Can't Feel My Face - Live,52,183.888
Take My Breath - Live,53,235.966
Hurricane - Live,55,127.527
The Hills - Live,55,185.361
Often - Live,55,148.878
Crew Love - Live,53,113.46
Starboy - Live,55,245.818
Heartless - Live,53,124.255
Low Life - Live,53,107.256
Or Nah - Live,52,101.45
Kiss Land - Live,51,110.315
Party Monster - Live,54,189.883
Faith - Live,53,185.016
After Hours - Live,57,267.912
Out of Time - Live,53,200.934
I Feel It Coming - Live,52,234.114
Die For You - Live,53,193.394
Is There Someone Else? - Live,54,237.904
I Was Never There - Live,53,137.149
Wicked Games - Live,52,143.082
Call Out My Name - Live,60,242.899
The Morning - Live,50,199.802
Save Your Tears - Live,52,178.187
Less Than Zero - Live,52,244.479
Blinding Lights - Live,52,253.365
Outro - Live,46,199.781
Nothing Is Lost (You Give Me Strength),68,267.504
Into the Water,48,220.052
Happiness Is Simple,49,142.128
A New Star,41,176.597
Converging Paths,42,105.426
Rescue and Loss,38,399.973
Family Is Our Fortress,38,186.725
Leaving Home,43,207.517
The Way of Water,51,150.05
Payakan,41,210.209
Mighty Eywa,39,252.938
Friends,40,107.145
Cove of the Ancestors,39,166.081
The Tulkun Return,41,171.294
The Hunt,36,347.641
Na'vi Attack,37,283.872
Eclipse,36,192.746
Bad Parents,35,203.419
Knife Fight,34,167.676
From Darkness to Light,42,254.046
The Spirit Tree,42,177.973
The Songcord,58,199.845
Dawn FM,45,96.24
